t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
1.72327e+09,27.2596,8.56429,26.828,9.13688,7.61645,5.56016,18.4163,94.5027,172.274,20.5922,5.93242,1.87823,11.3817,2.94904,5.77327,171,159,150,172,151
1.72327e+09,27.4028,9.58252,23.8091,8.6973,10.0751,7.40565,16.9828,5.48176,30.2849,20.627,8.78122,2.29659,11.0217,8.7196,5.12675,170,162,149,174,151
1.72327e+09,25.9293,14.1121,21.1914,8.38169,11.9498,8.06498,17.7076,6.06797,26.972,22.7645,8.54367,1.98712,12.4282,13.0125,10.6361,171,159,150,174,150
1.72327e+09,32.3542,7.50492,30.0327,8.75774,14.1086,7.98469,18.5245,8.64424,34.1227,20.8269,5.69939,3.85068,12.6472,12.6682,7.39507,172,161,149,175,152
1.72327e+09,32.1534,8.83814,22.9304,5.75676,12.2777,7.03305,17.8655,9.30298,20.014,20.758,5.72903,7.3527,12.1464,11.9091,4.77266,170,158,150,172,150
1.72327e+09,29.8778,10.4732,22.7641,8.79821,10.9738,5.7228,18.1069,5.52181,24.1671,22.5997,8.34597,6.52894,12.7725,11.6641,10.1854,172,159,150,170,150
1.72327e+09,30.5892,7.02347,27.8049,9.00162,9.59586,7.51451,17.1988,5.89098,21.6922,22.2661,9.66337,5.23147,11.8073,8.88497,4.3262,169,160,149,177,152
1.72327e+09,30.5932,7.34899,29.4032,10.2309,11.9649,6.29192,19.2601,10.1816,109.556,22.3155,12.3909,4.75557,12.201,13.7108,6.65272,172,160,150,180,154
1.72327e+09,31.3344,9.54388,24.4976,8.93561,11.4458,11.0898,18.3486,7.66576,23.4751,21.8339,11.6209,5.68281,11.9501,11.531,7.26838,173,161,152,183,154
1.72327e+09,32.2649,5.85124,21.0748,11.1412,10.9326,4.90375,17.1197,7.63027,13.5767,20.4342,8.80791,5.13798,12.4119,13.596,5.41391,171,163,154,197,153
1.72327e+09,35.8099,7.69824,18.3813,6.99355,15.7629,9.01665,96.7399,167.989,26.0132,17.9039,10.6714,5.58615,10.3821,11.5792,5.87979,171,162,156,201,153
1.72327e+09,38.7889,7.31534,21.0789,2.06857,33.3262,22.7156,42.739,83.0458,33.9946,19.4949,113.095,173.447,14.1786,10.8325,4.2266,170,165,157,205,155
1.72327e+09,37.6492,4.51308,25.633,11.8156,66.2969,27.8713,13.8048,8.86462,7.60587,76.6134,116.103,161.469,18.7095,122.976,174.771,174,165,155,209,156
