t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
0.044704,26.5317,15.3402,15.4686,23.2407,11.2704,19.6304,9.82624,7.57344,13.1304,11.2415,16.3028,17.3219,8.36236,11.7266,23.5785,0,455,0,0,0
0.14471,28.7923,25.2839,23.0388,23.5703,8.65886,22.9238,10.5033,10.8508,11.4746,8.97844,12.2918,13.8038,6.90479,6.40101,13.7194,0,454,0,0,0
0.244714,30.0967,30.293,37.4428,24.3171,8.46553,12.5223,9.48008,6.38866,9.82587,7.93345,9.83855,9.37583,7.39701,6.50741,13.591,0,455,0,0,0
0.344862,29.4884,21.0269,21.7026,24.0035,11.0547,15.3265,10.304,8.74118,9.13064,8.99744,8.04507,8.38582,7.41007,8.58857,18.3579,0,456,0,0,0
0.444829,28.3457,23.2106,24.4004,22.9013,7.0004,9.9036,12.9402,12.1482,12.3319,6.29965,9.19067,13.9789,8.15738,10.6247,16.0882,0,453,0,0,0
0.544711,27.5031,19.3735,16.6362,22.258,7.95381,5.91884,12.9436,10.5794,82.3644,8.04969,10.3301,15.7706,6.68633,11.4597,25.9028,0,452,0,0,0
0.64473,28.5678,22.6483,23.9092,23.8455,8.72018,10.2886,12.2707,10.907,83.7356,7.26148,7.85105,18.9982,7.71219,9.52338,18.0696,0,449,0,0,0
0.744757,27.2209,16.0404,14.9867,26.089,7.79493,12.6872,13.3392,9.17286,83.9417,8.08616,7.34775,14.8085,6.54697,6.11798,18.6891,0,448,0,0,0
0.844748,26.6651,16.7182,20.0795,23.2002,7.81294,9.54393,11.6292,10.3096,83.1321,9.91372,14.1954,22.4544,7.70296,11.6217,22.8318,0,443,0,0,0
0.944806,23.698,15.5557,15.0064,25.1195,9.47049,13.6166,12.1606,10.2591,83.3246,7.80135,8.63503,18.5951,7.71219,5.52773,14.0976,0,177,0,0,0
1.04473,27.1724,15.2719,16.3265,22.4226,7.65896,7.27651,13.4089,11.6987,82.3219,9.91372,15.8863,27.2535,10.8255,14.5628,20.2968,1,0,0,0,0
1.14476,27.1156,16.6059,18.867,24.215,5.87234,10.4303,13.2231,8.89658,86.0868,7.96986,7.41304,10.0289,6.94137,7.56037,18.7557,0,0,0,0,0
1.24475,28.7666,27.821,26.2139,23.2999,18.8462,23.0058,9.81567,8.49947,10.2208,5.1268,6.63361,10.3746,7.46982,10.7739,20.5894,-22784,1,0,0,0
1.34479,26.4501,17.0315,13.615,21.3768,31.7601,52.6175,6.44927,8.8631,10.3351,8.00705,11.8999,18.3131,7.94928,10.1694,13.2316,0,423,0,0,0
1.44476,26.5209,23.742,20.4905,22.1239,39.9066,55.3322,2.98456,12.8703,10.2938,6.97543,8.30247,10.1693,8.09342,13.0452,17.7851,0,422,0,0,0
1.54476,27.3942,20.3386,18.3531,19.9505,34.5294,40.6639,4.65002,15.1768,13.6666,5.94014,6.4755,11.0347,7.8404,19.7375,25.716,0,422,0,0,0
1.64478,25.526,18.8678,21.0471,21.6554,39.3583,43.6185,2.42945,18.4359,10.1522,5.93391,14.6758,27.4894,9.31052,20.4948,29.3275,0,426,0,0,0
1.74478,27.2525,19.4312,15.7767,16.6606,38.8819,38.3337,6.59333,27.2163,11.8991,7.72382,10.9898,25.2336,7.24057,16.7959,22.9342,0,430,0,0,0
1.84486,26.1351,19.2375,18.4231,19.0213,44.1888,63.3087,0.965664,18.7341,15.7662,8.77596,13.2925,21.8855,6.31343,11.6805,21.2081,0,431,0,0,0
1.94477,25.6003,19.0824,15.6278,18.153,42.4598,35.7062,2.69901,17.1557,13.4839,8.12004,9.4055,13.8771,10.6497,21.4626,23.3863,0,422,0,0,0
2.04478,27.1462,20.3374,19.3502,18.123,34.4244,36.747,2.29375,22.257,12.8177,8.52289,12.1465,18.3881,10.1162,16.4661,17.6169,0,421,0,0,0
2.14479,27.3838,21.4816,15.5797,21.7265,38.1747,50.3668,4.57826,22.1042,13.3551,6.19754,10.8919,16.666,10.4956,14.8605,13.6928,0,414,0,0,0
2.2448,25.2779,15.5302,13.6315,14.7962,44.9255,48.7791,0.522825,22.1913,10.7236,9.31527,13.165,11.6246,7.92101,11.0982,20.5577,0,411,0,0,0
2.34482,28.0157,20.6069,18.606,16.0861,36.6604,71.0869,7.89447,7.8198,12.6651,6.36795,8.9003,9.70058,0.582592,6.68228,5.51738,0,410,0,0,0
2.44478,22.6692,16.2793,7.74673,17.4723,45.4369,73.3844,5.34252,10.8895,9.96247,10.0852,10.9477,7.82165,2.57105,5.38323,7.46066,0,413,0,0,0
2.54481,25.83,14.082,14.787,16.7173,45.4917,73.3844,4.05486,10.133,10.2485,10.942,14.7795,28.7478,4.59034,1.68286,12.2795,0,412,0,0,0
2.64481,29.4045,22.2765,25.6079,17.0559,46.017,71.6978,5.69624,13.1663,13.6221,9.87298,13.8279,30.8435,4.7014,6.4155,19.6722,0,416,0,0,0
2.74484,26.2252,12.9769,13.1804,19.1239,43.6476,79.3591,10.4225,12.9783,13.2653,10.3252,18.8708,32.6247,6.58129,5.47872,9.33109,0,412,0,0,0
2.84488,21.5692,14.9066,7.91207,18.3487,46.2555,79.4568,7.78997,8.91286,84.4241,11.8592,18.1419,30.0628,6.81303,6.63386,14.4981,0,413,0,0,0
