t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
0.0910046,110.561,9.17464,17.21,27.0945,4.98756,12.2012,19.9701,31.2734,14.4087,28.468,28.5344,12.2772,31.8529,24.4801,12.3037,0,636,0,0,0
0.191012,116.589,14.598,18.189,87.6142,4.90548,8.39901,69.1696,33.0031,11.7328,76.8598,30.4329,12.8323,76.1544,21.8239,9.73112,0,640,0,0,0
0.29103,117.177,9.13975,14.7111,28.9491,4.51084,8.17607,19.2631,35.0928,12.5179,26.6781,29.0991,13.9904,34.8881,23.0421,15.0988,0,641,0,0,0
0.391012,129.597,11.6094,8.67905,87.1557,3.34485,11.8929,72.0511,32.2964,8.95937,78.6779,29.4281,120.254,76.1976,20.958,11.6583,0,639,0,0,0
0.491026,105.688,6.12058,12.4736,22.9145,2.66107,9.14257,22.7305,32.7651,14.1132,27.761,26.7445,19.1935,33.5377,25.405,12.8365,0,638,0,0,0
0.591033,85.5267,9.94925,21.6707,17.4312,2.83981,11.4899,18.8734,32.3321,13.5843,28.2536,27.1806,25.6151,26.7957,25.508,16.9769,0,640,0,0,0
0.691073,67.7517,14.4795,15.3509,15.6334,6.94885,9.38793,20.4692,32.3298,13.8906,29.1506,30.9221,15.7249,20.6385,26.5499,12.6173,0,637,0,0,0
0.79103,100.579,10.3254,12.9482,22.6705,4.10726,12.5026,19.0449,33.5659,11.9012,33.0796,26.5292,29.808,22.0295,30.5052,19.0148,0,636,0,0,0
0.891046,50.8433,18.538,15.5327,11.5994,7.00387,8.0861,23.3074,31.5905,11.5921,27.862,28.44,99.862,33.9356,20.2771,14.7206,0,631,0,0,0
0.991054,61.883,13.1411,14.9055,14.7652,7.36002,9.56674,18.287,35.1753,13.8222,33.1424,102.728,174.042,33.3185,25.5482,22.8105,0,625,0,0,0
1.09106,64.8279,16.8036,12.7041,10.8165,4.10732,11.4255,17.8624,32.8272,12.4971,32.802,100.068,173.895,27.8793,22.9591,18.1829,0,623,0,0,0
1.19107,81.3081,8.56912,12.9566,13.8685,6.84332,6.42328,17.0992,32.841,12.8875,25.5201,109.184,173.669,13.7191,36.0627,14.937,0,614,0,0,1
1.29109,82.6351,7.71609,17.9756,18.3631,3.64838,8.29321,23.6602,31.6295,15.5103,28.0175,28.711,29.1958,28.7205,24.1883,13.1909,0,597,0,0,0
