t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
0.0331368,29.4251,10.2794,34.9554,7.94143,12.492,4.76373,19.0696,30.4514,9.39668,26.283,36.2747,12.148,31.5675,24.9895,11.9298,0,579,0,0,0
0.133142,28.0271,13.1549,35.3636,6.73914,13.8285,5.21001,20.0697,31.5127,8.05848,26.1157,35.8583,10.3391,31.5515,23.6768,17.1432,0,579,0,0,0
0.233145,25.9484,10.0843,33.8757,7.73483,10.9362,9.67688,20.6891,30.457,11.4275,26.7333,37.907,10.7956,30.619,26.5578,3.82466,0,579,0,0,0
0.333186,29.3876,9.87528,35.2315,6.98438,12.7408,4.73772,19.1557,31.6653,10.6807,25.6347,34.7746,13.526,29.5228,29.1939,14.0467,0,578,0,0,0
0.43315,28.419,10.9706,35.9141,7.81104,10.9237,8.60813,20.2076,28.9974,11.7017,26.0586,35.4962,10.6103,30.3507,25.6011,16.5391,0,579,0,0,0
0.533132,29.4473,11.2476,29.7949,8.34008,9.99938,8.43537,20.785,28.9372,10.4694,27.462,32.3376,13.0067,31.1273,29.9713,14.3012,0,580,0,0,0
0.633164,29.244,11.1921,31.7797,8.07904,13.4933,5.20325,20.054,30.2028,9.62109,27.3191,34.4406,10.5439,30.6133,28.9683,5.63647,2,0,0,0,0
0.733179,31.5156,13.3712,37.3902,10.8462,9.24593,9.32191,19.1703,30.6907,8.81639,26.8843,31.9531,12.5156,30.6591,24.7601,9.42977,0,577,0,0,0
0.833188,27.4701,6.72274,30.1071,7.75525,12.967,6.20692,22.0771,30.0615,17.6402,26.3586,35.2842,14.4014,32.3815,26.1588,3.81996,15872,2,0,0,0
0.933268,27.7359,10.8643,35.0663,10.4645,12.3465,3.39362,20.0749,31.5674,13.1293,27.5169,33.0612,13.5159,31.3112,23.3566,8.93565,0,0,0,0,0
1.03315,28.1707,9.40638,34.3302,8.84427,16.2994,4.37364,20.2865,30.9582,8.79367,26.5883,33.4652,15.0947,29.1926,31.8614,6.66396,0,545,0,0,0
1.13318,29.8006,10.0597,38.5157,9.37932,11.1602,8.48809,21.098,28.3931,11.7489,25.0619,33.5272,10.1392,27.9805,25.5447,5.13325,0,0,0,0,0
1.23321,31.0005,8.15891,35.489,11.4561,13.4836,10.9063,22.8224,25.2337,9.53999,25.7728,36.958,7.10968,28.4745,31.5438,12.5749,0,533,0,0,0
1.3332,26.3178,10.907,35.566,12.48,25.1232,13.9752,24.1307,25.8487,14.6107,24.4571,37.3922,10.1682,29.2661,29.6178,12.1961,0,2,0,0,0
1.43323,27.6986,11.5024,33.3399,11.5404,28.6732,15.2831,21.2454,29.7153,8.97905,19.8557,43.9253,10.002,27.2439,30.315,6.17132,0,519,0,0,0
1.53321,28.2018,9.55655,36.5788,10.9433,34.1085,19.7392,21.8839,26.2647,11.3472,24.1344,36.0282,13.0588,27.98,29.1001,9.57313,0,522,0,0,0
1.63319,29.8994,9.77933,36.1929,12.6081,37.9131,19.3964,19.6651,27.7049,12.123,23.6458,36.5026,13.0495,28.3231,20.231,8.07385,0,521,0,0,0
1.73324,26.333,11.8513,34.4001,12.3329,40.7987,19.5382,20.9487,29.9699,11.043,23.0277,37.8245,11.6376,27.6789,23.75,7.49553,0,523,0,0,0
1.83326,27.3692,10.7548,37.2204,9.13825,47.1768,19.6534,21.3003,29.1457,15.2373,23.3471,37.1838,16.5501,24.7356,34.4553,9.4371,0,522,0,0,0
1.93324,23.7905,10.2507,37.1101,10.4696,46.6283,18.1851,21.3025,29.8722,9.29078,22.3408,38.3597,11.6629,24.4636,32.4405,10.1461,0,2,0,0,0
2.03332,25.9254,6.76375,30.5444,12.4212,38.8643,20.7787,21.1265,27.4044,14.7081,23.2201,40.5819,11.0793,25.7711,33.1964,10.1343,0,539,0,0,0
2.13323,27.2889,9.60486,33.0726,11.4168,43.2223,19.091,25.4101,30.4511,13.2381,24.4793,39.7038,14.1498,27.5715,27.6066,2.01263,0,548,0,0,0
2.23324,28.2607,12.6,34.3833,11.0298,45.1433,20.0074,21.5345,29.5993,15.8852,21.4144,39.6582,14.7166,26.0944,23.7964,6.06609,0,554,0,0,0
2.33327,28.1207,15.3037,41.132,13.0336,36.1337,15.0246,20.8516,29.8722,12.1704,21.8214,38.1421,17.1315,28.9747,21.355,7.1303,0,560,0,0,0
2.43326,29.0332,8.74229,33.4645,12.2319,31.9766,13.3152,21.7171,26.3661,12.6034,22.3007,36.2319,17.7475,26.6935,26.1246,7.14468,0,563,0,0,0
2.5333,28.7202,8.44469,36.6636,12.4789,26.5233,12.4476,18.6925,27.4901,12.7157,23.5853,36.3103,13.0495,24.7556,37.6786,16.9766,0,570,0,0,0
2.6333,26.7045,9.35137,30.8696,15.6692,20.8268,15.5952,23.1387,27.3475,13.0349,24.7844,39.5285,9.33065,25.6113,33.8461,18.2565,0,577,0,0,0
2.73325,25.6112,7.43644,34.856,15.6685,19.8282,9.01004,24.8883,27.6848,14.8257,26.1128,37.5354,12.9449,28.1792,28.2788,8.45264,0,580,0,0,0
2.83329,27.7709,5.65907,33.9775,13.9548,14.2905,11.4548,23.6861,26.2945,9.31835,23.9997,37.4765,10.1515,28.3945,31.2526,16.3575,0,586,0,0,0
2.93329,26.4004,6.79085,31.4661,12.5781,13.9445,3.95151,24.7035,26.2945,9.02336,27.3568,38.4698,11.1375,28.4023,33.6508,11.381,0,589,0,0,0
3.03334,28.8562,4.93329,33.3276,13.4847,10.2386,2.7927,22.8466,32.4887,11.827,27.8863,37.6578,7.27545,27.5617,38.2736,17.2346,0,590,0,0,0
3.13344,27.0469,11.7635,36.2563,9.85421,9.14195,4.74782,22.6303,31.4172,11.4767,28.2004,34.5393,10.9992,27.8387,37.4521,16.2991,0,590,0,0,0
3.2333,28.0557,10.4936,31.2318,8.4951,8.9537,7.4372,18.3996,36.6663,11.0784,23.9171,42.1989,14.7582,26.5304,31.6685,12.4769,0,590,0,0,0
3.33338,27.9445,10.4936,31.6083,9.36733,8.07799,7.86785,20.69,31.9787,11.8852,26.6011,37.3343,14.3496,28.8415,33.5429,14.2564,0,585,0,0,0
3.43333,27.7336,11.2383,31.2318,8.79986,9.7009,8.43619,20.7214,30.6653,12.8064,24.4178,38.4549,8.97783,25.6859,30.6793,8.4507,0,585,0,0,0
3.53337,25.8914,7.91651,30.3202,6.30578,11.4492,7.65421,20.519,32.0026,14.083,26.4835,37.9312,17.0404,27.5805,35.8813,14.7441,0,583,0,0,0
3.63339,25.6393,9.90236,32.5913,6.6691,11.8629,5.92294,18.7829,35.0363,9.23887,25.3039,38.0428,11.2121,24.9176,35.7454,13.8133,0,579,0,0,0
3.73334,28.4593,16.1295,37.4378,8.51989,9.98184,5.8055,20.8646,31.5527,11.2085,25.3223,38.967,11.8717,27.1186,31.5775,11.6584,0,577,0,0,0
3.83331,27.466,10.3079,31.6064,8.1729,11.0842,9.64349,22.1298,30.5762,8.8139,25.7058,35.7591,12.3281,23.4277,34.7202,12.0033,0,569,0,0,0
3.93337,30.2888,13.9242,36.3413,9.89012,10.4436,8.07894,20.5451,32.8943,9.98927,24.6423,38.1062,9.78843,26.6221,32.0576,9.16463,0,564,0,0,0
4.03341,30.8908,9.55147,30.9303,12.8826,13.2033,4.84465,21.6004,30.1759,8.2971,24.4847,38.9889,11.7482,27.2328,33.0252,14.6446,0,553,0,0,0
4.13338,32.7324,11.9288,36.9002,10.7968,11.1043,9.22026,21.814,29.3248,12.65,25.1541,40.4489,9.57937,25.3813,33.2455,12.4947,0,548,0,0,0
4.23339,29.8163,13.0153,35.219,12.1074,14.0095,7.34638,21.6676,29.1868,9.23675,24.1181,38.0602,11.1393,25.9907,31.2805,7.45834,0,543,0,0,0
