t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
0.0980051,44.3343,25.8985,16.7708,30.381,23.993,19.7514,31.9357,20.8863,56.8975,5.61894,22.4124,15.4622,8.17025,38.353,19.8134,0,439,0,0,0
0.198029,42.825,28.8455,22.4853,31.9049,19.8266,17.4354,31.9341,23.8296,54.1863,3.87373,22.538,14.1381,9.18204,34.4771,12.7061,0,435,0,0,0
0.298047,43.2595,32.27,20.1363,32.5052,20.3317,21.6484,32.4098,24.802,52.144,3.60242,24.4926,13.1131,8.95919,39.8311,22.8673,0,438,0,0,0
0.398066,46.395,29.6702,20.1939,34.5932,26.7469,18.6515,31.4967,20.7756,56.9204,4.43972,25.0512,12.3575,9.6054,39.8051,20.8821,0,438,0,0,0
0.498148,42.1751,26.8763,17.5395,35.6909,18.7928,16.6208,32.3715,66.7625,168.904,4.01117,22.0503,10.9844,9.7674,41.2565,21.5658,0,436,0,0,0
0.598052,44.5168,30.3698,18.6705,33.1515,19.0297,15.4538,32.8097,23.9659,54.0754,3.81897,23.8756,12.2033,8.94764,38.0995,18.7487,0,438,0,0,0
0.69804,43.3121,27.2086,17.7193,33.0982,20.747,19.2967,28.7026,17.7112,56.0934,2.55249,22.7419,10.7548,9.01312,39.0415,23.2303,0,440,0,0,0
0.798081,44.7128,28.1175,23.0642,33.0915,20.0534,19.4373,33.0268,20.6923,54.3388,1.91298,22.5128,10.4407,8.19701,38.7031,23.6566,0,436,0,0,0
0.898081,48.0262,24.8533,17.2156,32.9371,21.2762,20.1406,35.2211,65.7555,169.461,6.70017,20.2029,8.93106,13.674,30.8278,18.1919,0,433,0,0,0
0.998154,45.9108,26.0865,18.4724,34.9593,19.9116,69.5983,30.0349,69.3023,169.21,5.74411,18.809,10.1509,9.14401,35.2357,14.2099,0,427,0,0,0
1.09807,46.9377,24.2232,13.7699,34.6544,16.9413,71.5858,36.4641,63.8629,169.697,4.33704,26.579,14.0119,9.3535,41.4473,15.5813,0,419,0,0,0
1.19807,44.2426,28.0844,18.2477,33.1119,17.5911,71.3687,40.5413,59.8753,169.923,6.47399,21.8523,10.2049,12.1707,37.7189,16.7467,0,417,0,0,0
1.2981,44.8612,28.1292,20.5347,36.5423,22.3238,65.1079,43.4359,57.5135,169.796,7.31106,21.8052,10.193,12.8219,36.4097,59.1961,0,410,0,0,0
1.39811,44.8159,32.7023,19.9804,26.5522,40.7988,24.519,44.5659,90.2223,46.3697,7.93362,24.9494,10.7416,16.2366,26.2002,5.67691,0,406,0,0,0
1.49817,42.5967,29.092,18.3498,26.0003,50.9975,37.5156,38.1904,80.6496,41.7696,9.80987,21.4841,13.0149,13.7469,28.1775,6.99388,0,403,0,0,0
1.5981,41.5103,27.1825,18.057,33.6093,57.5537,29.3839,94.9847,166.874,74.3489,14.0861,12.9341,9.2129,18.355,33.7203,13.0149,0,399,0,0,0
1.69807,42.521,23.409,16.9929,33.7515,68.5086,32.4166,2.04585,14.1921,7.84002,13.6992,15.4282,8.62728,18.5681,32.7333,19.1298,0,397,0,0,0
1.79814,41.2708,21.9292,17.1924,33.327,82.7514,106.065,3.76008,13.6213,8.72217,12.2592,17.1954,12.6975,18.7673,33.191,20.7229,0,394,0,0,0
1.89814,38.4525,17.4647,16.2162,27.7568,92.4295,26.9816,5.90424,15.2709,7.28521,12.0152,14.5424,9.44356,10.6588,45.716,26.3885,0,391,0,0,0
1.99816,39.3428,19.1735,18.6415,28.0619,92.2169,22.6593,64.7671,46.8335,7.05922,10.2752,18.0132,13.4115,15.6986,40.0583,34.0805,0,389,0,0,0
2.09814,38.3014,17.028,9.19056,26.7103,100.268,26.1323,64.0831,45.3994,5.16702,14.4134,12.0841,7.46816,18.914,34.997,13.4995,0,386,0,0,0
2.19814,36.4358,19.7945,20.0823,23.6351,109.802,20.1434,63.7581,47.9487,11.5348,7.43283,21.8842,18.5186,18.0999,34.4782,14.8005,0,387,0,0,0
2.29817,34.1815,23.174,19.799,23.7556,109.733,14.9684,65.639,45.215,4.58446,7.47864,19.5319,10.2583,17.4631,40.4229,18.2765,0,385,0,0,0
2.39817,33.5889,21.4554,21.4948,21.3506,120.366,20.1707,64.1429,49.3885,12.4498,5.78543,21.5677,16.0958,15.6934,37.9675,15.3555,0,390,0,0,0
2.49819,34.5801,16.7121,17.1546,22.0622,125.411,18.238,61.3229,44.2284,5.6622,5.41829,22.4603,16.0951,18.6178,31.3377,14.1592,0,392,0,0,0
2.59819,36.4848,16.7543,15.8864,23.3175,122.561,18.8137,61.3156,46.5213,7.7581,7.77414,22.7151,19.7903,13.0689,41.5454,26.4681,0,396,0,0,0
