t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
0.00941563,38.3563,5.62019,19.4248,14.3983,12.1315,10.5283,8.22124,19.8189,30.3652,12.8705,12.7703,11.0269,9.17282,30.0223,11.6828,0,617,0,0,0
0.109427,43.3571,7.95481,17.2769,19.1538,9.9323,12.886,12.7233,8.76359,17.4389,15.4743,13.9646,11.2429,10.1919,33.5068,18.9013,0,619,0,0,0
0.209456,38.9174,7.62866,15.2029,18.9678,10.1356,13.5326,12.5975,8.89462,25.7333,9.5674,19.0369,17.1948,6.97725,30.7719,9.56791,0,618,0,0,0
0.309411,40.5454,7.60677,16.3055,18.2741,12.3227,24.2268,12.5224,8.52818,12.9799,14.2943,14.0682,10.4535,9.32896,22.5486,14.1591,0,620,0,0,0
0.409398,47.2035,6.0039,13.3957,19.0959,11.2037,22.6525,9.32094,33.7533,57.6282,15.6939,12.5355,10.6627,10.5653,25.594,9.71912,0,619,0,0,0
0.50943,46.4009,8.12632,16.5287,18.3979,11.7014,22.6805,11.6754,20.8589,44.5295,12.0521,15.6072,8.01747,6.11269,25.5277,20.6043,0,621,0,0,0
0.60944,46.3214,5.10969,15.7372,18.5418,12.5061,23.499,3.86022,42.5817,61.3376,9.56887,13.7632,5.14447,5.13117,26.6316,16.7337,0,618,0,0,0
0.709442,43.2848,9.01401,15.8751,18.5615,10.5721,13.9117,14.6959,37.5414,72.081,9.46108,18.6222,10.3331,8.56736,21.9652,16.3611,0,620,0,0,0
0.809448,48.9653,7.91359,14.8958,20.434,11.0538,24.5224,8.62597,37.0802,59.407,14.6992,14.8303,10.1195,8.8185,33.8407,16.117,0,621,0,0,0
0.909429,46.3755,11.3241,8.83652,20.7021,11.289,16.5023,17.0417,13.6059,29.3572,21.369,11.7465,10.1054,13.2578,30.7148,11.3891,0,618,0,0,0
