t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
299.991,45.0705,16.3961,18.2337,22.4576,3.56498,2.90713,22.3964,24.2526,7.81854,29.4117,34.382,11.0733,29.0835,31.8617,6.32913,0,422,0,0,0
300.091,43.5108,18.4228,16.744,19.808,6.11884,9.11591,21.8385,23.1041,7.99085,29.4096,35.4489,11.4447,28.2511,28.4771,8.95565,0,422,0,0,0
300.191,46.8477,15.1173,14.0126,18.8669,6.07813,3.42651,23.9307,20.2917,5.90654,28.6546,34.7345,14.18,28.5028,28.4879,6.17083,0,421,0,0,0
300.291,41.8108,18.4626,18.9645,19.5687,3.64136,4.778,22.1621,22.9333,10.6014,29.9031,33.6116,7.10559,29.783,31.5317,8.88825,0,423,0,0,0
300.391,44.4174,16.7994,17.1778,21.5007,3.46156,6.12339,24.648,19.4654,7.15024,29.2115,38.0698,16.4303,28.7174,28.2941,6.83957,0,420,0,0,0
300.491,43.9621,15.9158,18.9959,19.2853,2.59871,8.17294,25.6833,20.7072,6.36294,30.3877,35.3207,15.9528,27.603,31.3943,7.474,0,420,0,0,0
300.591,46.5554,15.5532,14.9149,20.5665,3.42933,10.9098,24.9594,20.2053,6.08913,28.6824,37.1295,15.9143,29.1571,26.7126,9.43591,0,417,0,0,0
300.691,42.7749,17.6773,19.0713,19.448,8.61082,3.46677,22.7922,21.0762,10.6005,30.0698,32.5336,11.0612,29.4335,26.8286,7.30027,0,412,0,0,0
300.791,40.9716,16.7346,17.7121,21.9537,8.09109,3.18808,26.8556,18.4967,8.9764,28.8133,33.8503,9.22183,27.7336,28.9123,9.25803,0,407,0,0,0
300.891,40.369,15.0233,20.6728,21.6393,7.16827,6.21648,24.4042,22.3151,7.81038,29.6317,33.2789,9.19866,27.8176,26.2983,10.9586,0,405,0,0,0
300.991,41.2478,13.5751,17.1035,20.5361,7.38513,6.41439,24.9249,19.8248,6.78465,29.2747,31.1895,7.88582,24.8578,30.1927,9.20268,0,403,0,0,0
301.091,42.5837,14.553,19.0363,22.5183,9.32148,10.2336,24.3487,19.2266,2.37943,29.1685,32.8206,10.0802,27.3807,26.5822,10.6566,0,401,0,0,0
301.191,41.2712,14.8687,21.1622,23.3705,10.3688,11.4846,22.6022,19.2311,3.76748,28.6942,28.6462,7.97229,24.5494,30.4145,15.9006,0,396,0,0,0
301.291,43.1606,11.2306,15.8027,25.7886,10.047,6.94253,23.7484,18.8163,1.02253,29.9237,31.3151,11.1231,22.9952,28.8659,13.1154,0,396,0,0,0
301.391,39.5905,13.9689,21.0944,23.3775,11.8732,9.68826,24.3299,19.3405,5.15274,27.8825,30.9626,7.4721,24.8427,27.8173,10.804,0,392,0,0,0
301.491,43.8226,13.019,20.4028,26.3653,13.8063,10.9515,22.7331,18.8074,3.3737,24.9552,35.3743,13.0943,23.7359,27.7248,10.0149,0,394,0,0,0
