t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
1.72326e+09,45.6506,25.613,32.1443,7.95864,14.9998,24.9291,26.8518,24.4835,30.4255,12.7649,18.1235,26.1956,6.77446,11.537,6.14408,409,395,330,387,346
1.72326e+09,47.0266,28.5445,18.2641,4.81334,16.5789,11.3547,22.4826,19.5186,39.2544,24.5106,18.8685,10.7304,6.8581,9.31558,2.52891,405,399,328,387,0
1.72326e+09,44.7091,19.7167,35.8055,5.4925,11.8337,21.287,19.7079,19.8213,38.2699,21.5354,13.9408,26.6642,7.11401,9.67627,7.45135,410,396,327,386,348
1.72326e+09,42.335,24.0298,32.434,4.9985,14.4577,18.9311,29.5304,23.7811,32.9225,25.613,16.7254,10.5123,8.01932,9.51272,13.5115,409,397,330,132,0
1.72326e+09,49.5445,20.6513,37.2917,6.49262,14.999,14.0436,15.8722,10.5473,44.9539,17.7105,16.3587,101.997,9.0138,13.1314,5.7054,408,395,330,388,347
1.72326e+09,45.0906,25.0482,23.5001,5.1701,11.847,13.2999,24.6751,15.4137,34.7099,20.2805,13.0448,1.92137,6.76713,10.3318,12.3989,404,398,329,0,0
1.72326e+09,53.6416,15.9842,36.84,9.38111,11.2874,15.9576,25.2519,10.1823,49.7012,22.5774,12.3128,4.92155,9.49925,10.1716,9.98506,150,0,0,0,0
1.72326e+09,42.4597,27.3473,22.8028,5.58385,14.7794,11.2318,29.1616,16.0265,44.2963,19.885,9.11617,6.4992,10.3743,7.9679,3.71214,406,389,71,0,0
1.72326e+09,46.2206,21.8956,21.1097,2.28547,14.3237,28.1812,23.1732,9.04246,44.693,22.1962,13.1399,112.14,10.7532,14.4886,5.56023,-32255,23041,1,0,0
1.72326e+09,38.8494,22.4975,21.1669,4.30064,15.741,103.96,30.2909,22.7883,33.2304,15.5698,10.4658,4.40641,7.43666,14.1137,9.74853,401,342,0,0,0
1.72326e+09,44.9291,24.3485,26.182,3.21983,11.8518,18.7681,27.7878,18.055,40.5325,24.0342,17.9797,2.31414,9.42267,10.3523,0.789886,328,387,346,0,0
1.72326e+09,23.9314,23.0749,8.99784,8.36152,16.7332,35.7695,29.4951,25.5713,37.6297,30.2924,27.5504,83.2986,11.9431,17.8,17.018,404,336,327,387,346
1.72326e+09,25.8167,38.011,33.172,25.8151,44.3698,54.1424,22.1883,42.6978,139.24,68.9557,100.739,32.4282,15.2071,21.1047,7.00559,405,332,326,387,345
1.72326e+09,29.3899,24.7711,46.1058,27.8389,72.971,63.4487,9.60774,25.2444,16.0823,61.9339,86.7783,24.1245,16.8912,17.2871,17.3445,401,327,325,388,348
1.72326e+09,32.5627,38.2606,26.1319,22.7094,87.8505,33.8599,2.65742,25.397,20.877,118.852,174.354,57.5402,19.4295,22.3879,15.3601,402,324,324,386,345
1.72326e+09,44.8122,19.2163,38.3748,13.0995,83.3908,55.1154,18.7755,23.2837,4.17801,22.0256,20.7886,2.89816,58.9781,99.5164,10.8294,404,325,321,385,344
1.72326e+09,20.1925,44.3677,28.5009,14.9672,97.9666,32.6549,15.4936,19.9349,5.02384,23.6955,15.9651,2.86532,35.5703,80.1057,44.3091,406,322,322,382,347
1.72326e+09,52.769,9.94088,10.6199,15.8758,108.853,53.1817,27.9623,30.0289,4.69043,29.8242,34.2687,3.37526,40.9496,74.1588,57.1705,402,320,323,384,348
1.72326e+09,24.7947,37.7217,26.616,10.6568,105.157,22.6152,20.1255,20.6933,16.4362,37.8859,17.0376,16.7425,0.270986,29.246,39.3483,402,322,318,386,343
1.72326e+09,18.6163,46.2092,24.5525,10.2115,106.104,21.2273,21.589,21.2911,25.7058,33.9552,15.9492,20.1877,14.9964,34.6742,33.9394,403,325,320,384,347
1.72326e+09,13.8845,55.224,36.5613,27.8164,112.169,41.4614,35.9205,34.2723,13.2061,40.3218,22.7209,13.2575,3.92715,20.3755,25.828,404,322,322,384,345
1.72326e+09,14.071,38.8173,41.2667,21.6004,107.343,24.951,30.7834,24.4508,2.71427,42.9029,19.1405,23.9329,21.0117,20.4703,22.9234,405,325,322,386,346
1.72326e+09,15.9309,54.1271,39.739,26.0562,114.351,24.1313,32.7301,31.2108,10.7672,44.0079,18.8938,26.2508,9.08958,16.3134,29.5626,401,359,324,384,343
1.72326e+09,24.7885,33.2549,29.7714,22.7323,107.625,28.2335,32.3525,28.2458,10.7403,44.1089,25.1182,6.31915,6.13079,21.2078,27.4067,402,392,330,384,347
1.72326e+09,15.2925,54.3544,34.9241,28.1304,92.9061,68.1721,25.9644,19.4627,13.5952,17.1755,11.1907,4.93693,6.04161,22.4482,21.7083,405,400,332,383,347
1.72326e+09,12.3193,55.1138,63.2487,36.1507,21.3763,6.14164,31.7553,16.6756,11.0992,18.3338,12.4881,2.90156,30.8186,50.7705,16.5378,414,410,328,385,346
1.72326e+09,39.9062,30.2073,34.5568,10.1402,32.9495,20.4923,35.6388,53.7399,19.9446,19.6168,29.2403,62.7647,10.2321,13.1703,11.9805,418,411,331,383,345
1.72326e+09,50.9017,35.5537,37.6071,3.96764,10.2902,17.442,15.6773,17.5847,113.881,23.9478,18.931,2.29571,9.03929,8.681,5.07853,413,404,333,386,344
1.72326e+09,40.2722,35.0674,53.0688,2.94617,12.1909,15.8917,16.1081,21.2317,20.28,13.257,15.8914,15.3129,8.08758,12.558,5.69431,412,406,329,384,344
1.72326e+09,40.9825,38.0969,47.3945,7.62232,10.5974,10.2391,13.2203,24.616,5.71525,14.5229,18.0738,7.8019,8.05697,9.06347,6.31466,410,403,329,385,344
1.72326e+09,39.3827,37.2808,45.4894,10.8279,10.5661,16.5121,11.9925,15.4941,26.1584,14.9434,14.5559,5.38695,9.72652,8.46037,11.5738,412,404,332,383,343
1.72326e+09,42.7694,28.9976,41.2711,6.34552,12.3511,4.70969,15.5448,14.4144,29.8585,17.2434,15.8603,5.22105,9.03116,10.7853,2.57969,412,404,330,386,343
1.72326e+09,37.2498,35.349,28.6942,6.1752,10.9802,13.1606,15.0413,16.0421,23.7675,17.8648,13.9674,9.71724,13.9112,14.1549,2.02093,404,397,329,383,343
1.72326e+09,32.4856,40.4786,39.5117,10.2641,10.5789,12.3056,11.9813,15.6097,109.441,10.8697,13.1836,12.6109,7.02141,11.0583,3.67597,399,383,332,385,343
1.72326e+09,34.0006,38.6279,32.3225,5.03623,14.8435,3.289,15.4285,14.084,39.9411,16.2043,16.9225,16.5799,8.62645,12.284,19.0864,400,372,329,385,342
1.72326e+09,33.5472,32.6161,30.9524,12.4548,14.0619,12.5824,19.3531,18.6293,29.4589,16.8346,15.4701,8.90256,13.3826,11.2882,9.9416,397,361,331,385,344
