t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
1.7232e+09,176.175,95.7232,21.8532,7.2559,19.185,14.852,36.4253,13.949,51.9483,27.372,30.0861,82.0157,15.3478,19.6203,14.8822,414,399,0,8,388
1.7232e+09,31.1788,45.663,29.4316,7.85953,20.1566,11.5079,40.8551,11.7603,57.3208,32.6778,29.3583,20.1851,23.2714,11.9296,5.65207,-32256,1,0,0,0
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-32256,1,0,0,0
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-13312,1,0,0,0
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,416,400,0,4,434
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,30976,1,0,0,0
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,417,401,0,4,410
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,417,396,0,2,404
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,416,394,0,5,402
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,420,375,0,8,398
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,417,359,0,4,404
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,417,345,0,6,458
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,420,339,0,10,487
1.7232e+09,59.5852,14.0077,31.5119,63.4911,107.386,63.7368,160.331,88.9339,7.42243,24.5961,27.9117,5.03072,27.0524,58.9087,13.8832,421,333,0,8,473
1.7232e+09,102.419,26.9108,94.4951,-nan,-nan,nan,53.9429,43.4324,11.2932,59.8484,39.2483,8.95466,96.4461,68.5051,18.3916,419,333,0,7,439
1.7232e+09,88.5826,22.6415,12.399,-nan,20.6565,32.671,55.6687,42.9344,9.8513,62.4102,36.8368,6.79162,92.3852,71.5645,28.063,23296,2,0,0,0
1.7232e+09,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,422,330,0,5,520
1.7232e+09,-nan,-nan,-nan,107.767,77.895,20.5336,66.3603,27.3456,3.84768,62.8012,28.7847,2.5597,85.9445,84.8672,36.3355,418,331,0,5,546
1.7232e+09,176.715,86.4621,19.44,22.8332,41.607,90.6903,31.4899,30.6759,3.88781,39.9497,34.7258,17.3713,40.8466,122.334,177.181,418,331,0,153,580
1.7232e+09,23.8888,34.3051,59.2092,29.403,65.9776,20.8441,25.5811,23.0548,6.13051,48.1678,47.9483,6.95796,53.1575,132.829,-nan,419,333,0,57,502
1.7232e+09,42.4693,33.342,47.761,28.5925,30.6808,33.373,19.5833,18.3294,7.83714,32.267,33.3867,9.73696,28.4397,112.243,-nan,417,334,0,56,487
1.7232e+09,45.1906,23.8493,53.9701,28.6537,36.1023,86.7389,16.2752,12.1589,10.349,31.9045,31.7889,6.4946,80.871,-nan,-nan,416,340,0,10,461
1.7232e+09,175.885,130.092,60.3438,27.0815,50.1624,28.6287,14.4025,14.7134,15.8176,40.9559,39.5383,7.34959,78.8748,-nan,-nan,417,361,0,9,463
1.7232e+09,35.9155,177.886,82.633,24.6562,70.1186,21.5115,15.5363,16.7724,6.10279,31.3885,39.2757,10.707,17.3746,91.1411,43.337,417,373,0,5,472
1.7232e+09,32.5409,48.6521,44.4956,31.9317,31.3941,63.9526,19.2479,13.9817,9.62172,8.27821,105.068,174.733,75.8231,-nan,-nan,416,381,0,6,474
1.7232e+09,175.895,135.684,91.2034,29.7503,48.8049,18.6313,5.62108,18.6001,18.094,49.1068,83.9783,79.1595,93.0819,138.453,35.4589,415,392,0,-12032,1
1.7232e+09,-nan,127.046,77.3365,95.1361,49.897,22.4017,113.031,55.5041,38.798,135.02,93.9957,70.1205,157.264,26.3699,175.468,413,397,0,5,431
1.7232e+09,32.7127,59.4975,75.8587,17.8046,44.3336,23.3123,26.1432,64.4285,38.7771,60.2659,100.143,54.9065,92.3764,73.0905,98.3289,412,404,316,4,375
1.7232e+09,42.7239,39.3128,56.1238,11.8106,29.8695,13.1828,33.8301,73.5929,46.5839,69.7129,103.14,24.1224,33.5355,79.2317,20.1817,1,0,0,0,0
1.7232e+09,35.7879,53.293,47.183,13.8347,16.5089,10.9587,33.9475,74.0488,44.5356,67.4641,68.3483,28.1024,31.3046,97.4162,-nan,1281,31488,1,0,0
1.7232e+09,37.0552,50.8222,34.9373,10.7592,19.7121,14.0709,37.4358,32.9218,49.1944,105.511,-nan,-nan,21.4211,16.1634,11.1072,397,0,0,0,0
1.7232e+09,31.4549,51.1627,20.9444,8.12684,19.9042,11.5948,30.0686,28.4845,43.8249,20.7634,33.1359,22.6936,14.9684,10.6622,5.23887,0,6,375,0,0
1.7232e+09,28.9,44.3703,40.4325,12.1904,15.4409,9.88312,28.5923,42.4445,15.1864,17.3948,25.8152,16.5554,12.9353,11.3531,7.22383,30208,1,0,0,0
1.7232e+09,34.0929,42.8694,18.6741,10.3334,13.5867,8.53095,22.2226,37.7069,9.39463,17.5081,21.284,16.6065,12.3644,13.9187,3.48863,1,1792,30464,1,0
1.7232e+09,36.804,47.1312,2.29148,8.0487,12.8913,10.0793,16.565,31.0361,10.2213,18.9555,21.4433,17.0943,13.6187,12.0039,6.43233,421,413,0,5,386
