t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
416.697,27.7302,13.696,15.5183,7.85857,10.5557,10.3876,6.66515,10.8839,4.89809,16.4778,11.9864,5.07459,15.1624,12.6043,6.72702,535,564,496,574,630
417.197,21.0553,13.5369,13.6906,15.2507,10.6369,5.74075,6.07926,11.7042,2.60597,10.0664,9.49955,6.53768,10.6621,10.0553,10.1414,533,556,496,556,630
417.697,11.4865,4.03406,18.7486,24.2619,25.2277,25.2498,37.8911,69.1041,37.3011,4.87521,20.5718,12.6367,4.2048,106.192,169.05,532,562,491,495,628
418.197,26.7281,9.46304,95.3701,94.8337,172.061,119.327,96.5365,163.444,77.6284,101.718,164.991,82.8857,13.9375,22.0301,18.9367,530,558,492,502,629
418.697,28.5496,18.9415,11.7221,20.6295,34.7544,48.4184,33.6557,64.9106,167.348,6.65544,14.5091,5.87905,10.3171,15.9242,94.6193,536,559,497,572,628
419.197,27.1225,17.9308,15.1982,12.3747,9.41743,6.3084,3.47723,10.4911,1.36469,10.2084,12.2837,3.8155,11.1265,10.5062,2.47803,535,557,499,570,627
419.697,32.4132,11.4131,22.288,6.19656,10.2718,7.45066,6.75743,11.6153,4.15604,13.6774,9.54336,5.36833,12.0725,10.5675,6.4887,530,557,496,559,626
420.197,29.8559,11.3141,21.0364,11.5403,44.2686,26.4543,18.9895,12.7325,58.9604,11.1762,14.4879,5.38967,9.86787,10.8336,6.76303,532,557,491,486,624
420.697,33.6407,6.106,14.8439,11.5031,33.5131,79.9651,31.2577,64.7773,37.0052,7.14611,11.5392,5.18023,6.81349,9.89668,2.47601,532,557,490,486,625
421.197,34.6702,6.39343,18.5363,12.7342,32.3759,99.7034,33.6543,65.5099,36.5179,9.06397,11.9348,2.65682,8.49522,11.2974,3.17337,531,558,492,568,625
