t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
1.72326e+09,27.2768,12.1294,3.32348,25.463,10.824,8.36603,12.8337,11.1558,10.6495,5.90412,16.3968,5.51833,22.2504,10.1066,1.18544,335,320,289,317,294
1.72326e+09,27.3243,14.127,6.36445,20.1207,12.3547,9.6104,11.9337,9.8246,2.999,4.00389,16.6374,6.88669,22.3032,12.3537,5.91425,16641,10497,1,0,0
1.72326e+09,27.6425,14.2709,6.8058,21.4064,13.6367,7.18603,12.202,10.2573,6.59447,0.370363,6.53261,9.03019,24.9185,14.0626,4.58675,334,320,288,319,292
1.72326e+09,29.0716,18.7066,10.7983,23.19,15.0816,7.29986,10.5876,9.5781,6.38717,0.971389,11.8626,4.76077,19.0722,8.54449,1.63821,339,320,286,316,293
1.72326e+09,25.7723,16.8603,6.51097,21.8609,12.3738,6.89582,10.236,11.239,8.27592,5.43803,18.8823,8.10423,21.9215,9.65906,1.63193,336,322,286,317,291
1.72326e+09,28.978,13.3515,5.32071,23.4998,12.5296,5.45957,10.997,9.33931,8.9353,0.943907,12.9386,2.10062,21.5874,9.66448,3.85855,12545,8961,1,0,0
1.72326e+09,28.7627,12.6055,5.48906,25.0022,13.8705,7.53858,11.7244,10.621,8.16499,3.6164,16.2534,5.65066,21.8082,12.3321,6.17364,1,0,0,0,0
1.72326e+09,28.4156,13.4231,4.30331,24.3659,19.8815,11.7002,12.3,13.0876,5.95021,5.52008,22.3051,13.4198,18.4163,4.53086,4.51298,3841,8449,1,0,0
1.72326e+09,26.2059,16.4581,6.2119,21.3911,14.9629,11.001,12.0695,13.5348,6.91516,3.54304,21.3422,7.48719,20.6639,9.01352,2.53585,292,0,0,0,0
1.72326e+09,24.742,16.0946,4.70789,24.3153,10.4444,9.87885,12.3411,5.51415,8.474,10.3494,26.924,26.6055,25.1122,12.5203,7.96447,285,254,292,0,0
1.72326e+09,30.423,16.0528,2.90761,24.4359,12.4903,12.6275,7.78446,10.7317,6.46401,22.2399,85.1049,16.0152,93.0938,172.334,63.6689,9984,1,0,0,0
1.72326e+09,27.4903,15.1835,6.65621,22.7687,7.27546,8.50229,15.5975,20.0366,15.8022,8.4715,113.655,9.91836,53.3755,172.17,72.4317,7425,-1023,9728,1,0
