t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
1.72326e+09,23.6178,9.3777,11.5341,19.6165,17.8513,4.12901,15.3952,70.5878,170.992,15.0932,13.4821,4.47095,19.9595,18.5241,7.98003,374,342,302,339,321
1.72326e+09,24.0511,11.6235,16.1489,17.025,18.5153,9.58883,19.9719,65.8534,171.16,14.9123,14.0075,6.08336,17.7485,12.249,110.873,376,341,302,338,323
1.72326e+09,24.69,11.7056,16.2382,17.8129,16.8324,6.3911,13.5455,72.2392,171.018,15.8866,13.3508,4.27071,15.897,16.3953,8.92917,373,340,305,338,323
1.72326e+09,23.8368,11.8381,11.1445,19.3022,14.8986,4.96914,72.8497,-nan,-nan,16.3088,13.9471,5.76581,19.4714,16.8466,9.40289,374,340,302,337,325
1.72326e+09,24.4479,14.823,15.1447,18.8068,19.1512,14.0497,74.69,-nan,-nan,15.6694,12.8836,3.01587,14.4253,12.6198,6.99047,377,339,302,338,319
1.72326e+09,22.2161,15.7279,15.0931,21.0401,18.5932,5.51061,73.428,-nan,-nan,14.3631,12.7342,3.68769,15.7115,17.389,14.0252,373,339,305,337,322
1.72326e+09,22.2289,12.0962,15.1177,17.2324,18.0086,10.3664,22.8623,61.5409,171.044,14.5958,13.5133,3.85814,13.0837,11.721,9.44025,373,340,304,337,325
1.72326e+09,21.3813,14.1931,21.8786,17.8973,19.359,13.7921,22.8025,62.4504,171.088,14.1691,13.074,2.69258,14.1685,12.4408,9.16599,376,341,303,337,321
1.72326e+09,23.3426,12.8392,15.2495,19.5741,19.3754,13.6629,20.5197,62.6282,171.174,15.3289,15.8086,7.72445,16.9084,12.0252,8.55075,375,336,304,340,316
1.72326e+09,21.9673,11.8082,15.5229,18.5109,20.1287,16.5383,20.5892,62.9936,171.044,15.2867,15.9421,10.2225,16.263,12.4444,9.63383,371,337,305,335,309
1.72326e+09,18.777,12.0328,17.7593,19.8246,21.3182,14.1286,72.7337,-nan,-nan,17.0738,16.4579,7.46272,17.4018,12.8885,8.10541,370,337,300,325,301
1.72326e+09,22.3353,16.7543,14.3074,20.1366,21.2771,12.0518,24.6656,59.3622,170.997,14.3152,12.5017,7.14789,13.0452,14.2404,15.5758,373,332,304,313,298
1.72326e+09,28.1241,12.0197,17.6489,21.047,21.7986,11.5597,22.0479,57.7098,23.095,15.5935,13.315,8.6861,8.83418,22.8973,22.5133,369,331,305,305,290
1.72326e+09,29.8034,14.2136,16.4012,25.3347,21.1005,9.70083,25.943,68.0983,38.3337,13.5305,24.2845,8.19618,4.11862,37.1494,12.1625,368,331,303,305,287
1.72326e+09,29.2819,12.9238,15.0821,26.6286,23.3478,11.6968,22.4914,62.9997,30.0093,13.723,28.6266,11.5931,7.15026,43.552,17.8818,1,0,0,0,0
1.72326e+09,30.4496,16.9467,16.8985,27.0376,25.6453,10.9256,22.5679,62.2689,32.8574,15.4654,48.7743,28.1949,7.12114,80.0477,34.8773,372,333,304,298,278
1.72326e+09,33.1804,13.7282,12.5034,27.586,22.7425,10.4454,23.973,63.7994,33.3549,11.7675,58.416,26.2594,3.15974,82.5455,34.0628,367,330,304,292,274
1.72326e+09,27.0503,15.6982,16.3349,28.4217,29.8679,16.8526,19.0132,63.212,35.7273,14.1142,60.0745,59.2468,92.2166,173.497,103.1,371,330,304,292,1
1.72326e+09,26.3062,15.6502,13.9653,27.9431,24.5207,9.39405,21.0535,66.846,33.5199,11.6237,65.5674,30.6757,4.0631,84.3756,30.3647,369,326,305,291,272
1.72326e+09,32.5163,18.0713,14.1569,29.9411,29.134,19.2075,25.0398,71.0582,39.594,10.8029,71.3193,33.743,8.02133,88.7455,25.3999,371,332,307,290,276
1.72326e+09,37.7242,16.9794,15.3928,31.1345,28.8215,8.41839,22.2617,69.7017,40.9296,11.0905,68.9115,37.4115,5.58995,95.6895,26.4058,367,328,309,292,272
1.72326e+09,36.4512,16.5737,15.6207,33.1653,25.7268,12.9637,22.7308,71.0519,44.091,10.9323,79.7308,32.674,7.67193,98.8826,26.7606,368,330,304,295,276
1.72326e+09,40.8478,14.0303,19.8306,31.5679,30.64,19.9261,23.8483,71.308,41.3604,11.9699,84.053,30.5708,8.95785,95.3997,29.9938,370,335,308,294,280
1.72326e+09,32.3078,18.4413,13.7538,27.5362,26.9819,21.8521,27.0959,72.7137,41.071,13.256,82.3335,26.485,10.2559,102.511,24.0854,369,335,306,291,274
1.72326e+09,35.2202,15.2704,17.7812,29.3891,26.4001,16.6526,24.9131,70.4786,41.0395,10.484,80.4546,27.824,9.11686,94.9192,25.5291,369,331,303,293,278
1.72326e+09,32.7284,14.0802,13.5969,26.5443,26.3808,15.7696,26.7752,71.24,40.0233,12.2401,81.2793,30.7862,9.98028,94.9888,28.1148,372,334,308,295,1
1.72326e+09,28.0431,15.2756,12.6238,27.6208,27.6191,15.8708,25.4991,70.6241,35.7233,10.9776,80.8241,30.2008,8.08849,93.9632,26.9493,372,337,309,291,277
1.72326e+09,40.6783,13.3664,17.6138,29.7009,26.6612,16.1678,26.8957,69.9937,36.6753,9.36124,80.6224,32.108,6.10855,91.7925,27.0614,373,337,304,295,279
1.72326e+09,32.2596,12.3374,16.0064,25.6886,24.3208,15.0638,25.4261,73.5303,42.1416,11.2259,79.7144,26.871,7.51743,93.193,25.1182,370,334,304,299,283
1.72326e+09,34.983,15.3703,18.5268,27.7244,23.3099,12.2782,26.9378,73.0599,37.5265,11.5528,72.5481,32.6616,7.9398,91.3211,27.0754,369,337,307,321,299
1.72326e+09,35.9394,12.9819,15.9665,28.3889,26.9637,13.1048,25.0557,70.2749,36.3315,10.8499,76.2347,34.2631,10.3895,88.2935,26.3808,369,338,310,336,309
1.72326e+09,33.2831,10.9481,17.0387,22.8991,20.3432,8.74922,25.7937,72.522,40.3189,12.9853,72.3702,29.9392,6.35365,82.0077,29.1049,368,339,308,337,312
1.72326e+09,27.228,15.7279,15.9676,20.7947,23.5747,61.2364,73.6024,167.314,84.3731,11.4386,42.0111,12.6813,5.45011,51.7435,16.1171,371,337,308,339,316
1.72326e+09,28.3233,12.393,8.23992,22.5619,22.1422,18.945,72.8273,167.266,71.8819,11.8104,20.7909,5.48864,9.81375,23.685,18.5459,370,338,312,344,317
1.72326e+09,26.9602,12.5122,14.0811,22.0479,20.5129,16.6264,73.8088,167.253,71.7963,10.728,12.4085,2.63342,9.98705,16.3004,10.1779,367,340,310,343,320
1.72326e+09,28.6148,11.464,11.8967,21.8205,21.2771,10.6074,73.486,167.253,69.5921,11.5075,11.8982,8.06013,9.60522,16.3115,16.0311,367,341,309,347,317
1.72326e+09,24.4311,13.5674,9.57861,20.6311,19.7897,15.0112,73.0667,167.079,71.8412,11.3896,10.326,1.33326,10.1527,15.9122,12.3843,369,339,312,343,318
1.72326e+09,25.5767,15.8901,13.6141,19.9053,20.7137,14.9664,10.5369,4.85808,30.4831,11.6229,9.21711,4.79475,10.6834,12.7521,10.5238,369,339,314,347,318
1.72326e+09,29.9119,14.3774,17.6319,21.4757,19.9896,17.506,73.4417,-nan,-nan,11.8769,9.83077,3.27344,11.6174,16.5905,15.9017,370,338,311,347,318
1.72326e+09,25.4325,12.5006,11.2733,18.8035,21.1531,17.8755,13.6295,13.7526,14.4904,10.6543,10.6139,6.37817,10.6726,16.9623,12.5375,367,338,315,350,321
1.72326e+09,24.5876,13.5637,12.0817,22.4923,21.6693,16.8875,14.4491,21.5833,10.0619,9.09884,10.2041,4.34107,15.6558,17.3843,12.0028,369,343,314,354,318
1.72326e+09,23.6359,14.585,14.4406,22.1282,25.5047,15.8415,12.7379,14.8126,13.9477,9.85362,9.19862,1.15858,12.8475,11.8771,10.1389,370,347,316,352,318
1.72326e+09,22.3014,14.7175,15.357,20.8621,16.5003,8.87085,11.4583,6.00612,19.9091,8.94925,8.02994,1.20719,12.3804,11.5762,12.4264,368,352,311,352,323
1.72326e+09,22.3014,14.7175,16.0647,22.6219,17.9123,11.6431,14.8105,18.4373,16.6918,7.19866,7.57161,3.14739,11.5686,12.3524,12.4852,369,345,315,349,313
1.72326e+09,23.1677,14.5982,14.4944,18.7246,18.6182,13.6328,7.87279,5.70219,24.5342,8.60244,9.43178,0.241619,9.05528,12.0373,9.58923,366,342,310,342,309
1.72326e+09,21.7594,13.5702,17.1442,16.5326,15.4643,16.5053,5.5943,5.68148,20.1298,7.23304,9.3706,3.60003,10.6554,8.54158,9.61129,366,342,310,334,305
1.72326e+09,25.8175,10.2754,15.665,17.3764,10.8336,18.3716,7.20328,3.33644,19.5748,5.93097,7.37961,1.82304,10.1217,11.7318,8.99744,368,340,312,327,300
1.72326e+09,24.5759,11.4116,18.1967,16.018,14.2918,8.42273,4.7544,6.24182,22.221,5.10131,10.3416,7.7603,13.0247,13.0563,98.8728,368,337,307,320,292
1.72326e+09,26.9243,10.2774,16.5874,17.2935,12.2243,9.03316,7.03862,6.1094,25.1907,5.00778,14.9761,10.862,6.84568,16.129,11.1918,367,340,311,313,289
