t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
1.72326e+09,23.5703,21.9569,18.305,20.8049,7.72583,12.529,5.19292,5.08705,7.19208,8.15484,7.17109,1.90329,23.0144,9.72147,5.78562,369,362,302,343,0
1.72326e+09,21.3944,14.9606,17.3904,20.4174,8.35266,7.04339,6.22849,5.39273,9.42082,6.18077,11.834,8.15504,16.3502,6.00717,5.25807,370,366,0,0,0
1.72326e+09,20.9632,20.3161,128.452,21.9853,6.55737,7.69766,6.01297,4.07334,5.64941,6.29198,7.50913,9.56853,22.0649,7.09095,2.31655,369,362,306,89,0
1.72326e+09,21.7927,22.6714,128.739,22.266,8.2433,3.3778,7.94679,5.71949,10.2221,5.79764,6.59911,7.37962,17.8797,4.77314,3.16524,369,109,0,0,0
1.72326e+09,22.9634,22.9714,20.5551,18.9433,4.55034,3.16404,9.76247,13.779,8.7997,5.86151,10.0098,13.1598,13.0649,5.88646,5.25703,12289,21505,17921,1,0
1.72326e+09,21.8104,18.8282,13.2793,17.9007,2.16602,9.47387,3.40595,4.0896,11.1786,11.0195,8.13389,10.2746,10.3719,5.80285,5.24371,368,0,0,0,0
1.72326e+09,23.9325,15.7714,16.4436,17.1519,6.7855,4.82366,8.16885,5.7137,8.77339,5.83515,7.3778,9.80428,20.742,15.4171,11.2188,365,306,344,322,0
1.72326e+09,26.4505,19.3011,15.5122,18.1491,6.77615,4.82472,9.22841,5.56248,7.60995,7.43758,10.9369,16.7663,14.709,7.88668,3.69703,115,0,0,0,0
1.72326e+09,19.0703,19.4288,14.469,19.2742,7.8742,10.9048,6.72495,9.94048,8.83523,7.53577,8.42586,14.7639,18.6118,11.6702,1.46323,27905,12289,22017,17921,1
1.72326e+09,29.9619,12.5096,12.8107,19.8004,10.8816,12.5451,7.84567,16.1339,19.6443,4.51919,16.4621,24.1021,15.2645,9.6109,3.18806,370,363,305,336,326
1.72326e+09,19.1494,15.3971,8.75276,19.414,6.90648,9.05991,9.77997,12.4394,76.88,7.28088,11.936,19.7673,21.1805,9.16872,4.61504,369,362,301,318,320
1.72326e+09,19.4979,15.8164,7.64965,21.9467,11.0241,10.9852,8.67692,12.1572,14.4703,8.87402,5.83353,11.3925,21.115,10.9881,2.66798,358,360,296,280,322
1.72326e+09,22.5195,17.0631,8.3154,18.5943,5.48956,4.52769,11.2698,13.9376,78.0269,11.4729,27.4792,48.6368,14.8354,11.512,16.4527,351,359,293,264,320
1.72326e+09,21.8499,23.0514,10.201,19.281,7.20397,8.66885,8.86032,12.3686,77.0376,18.8792,19.7426,27.8833,13.0543,6.41213,1.02366,16129,1,0,0,0
1.72326e+09,20.8249,14.8571,15.0358,24.2001,3.40158,9.3819,19.7345,22.9986,11.8051,85.005,174.978,11.1202,13.2318,7.12474,11.8173,349,360,292,257,322
1.72326e+09,25.9443,19.6926,17.031,21.8735,9.7236,4.34126,19.0171,20.1989,8.21576,48.3989,170.216,5.40058,24.2693,11.6025,13.6117,353,361,291,258,319
1.72326e+09,25.4424,20.9695,123.589,21.9227,11.5757,6.67148,18.8618,16.9774,1.29542,44.5047,176.003,9.12279,18.1307,3.33365,9.97923,356,363,293,257,322
1.72326e+09,24.3968,18.4073,11.7322,19.9887,10.2564,10.9138,19.829,22.2904,11.5288,40.7378,173.227,4.92423,23.0942,14.2727,9.4165,351,360,292,261,319
1.72326e+09,26.6029,18.3201,12.5206,23.5086,10.6128,5.64829,15.9089,2.88111,6.42593,51.6942,172.444,11.9404,28.4316,14.3566,96.1107,353,360,293,266,321
1.72326e+09,27.8043,18.119,20.4143,20.0939,6.74441,5.69638,15.8954,19.1184,12.5757,45.8681,175.03,12.5737,25.0165,17.1746,93.008,352,361,298,289,322
1.72326e+09,25.8481,16.6268,14.826,20.711,6.15135,5.49942,16.035,16.0942,15.4176,52.358,174.221,14.7628,35.0842,29.2337,88.3373,363,361,304,324,325
1.72326e+09,20.7953,16.8016,9.97966,21.6007,5.11561,2.05176,15.0827,10.0334,3.63343,70.8895,174.216,6.8455,35.3122,15.6048,100.823,368,361,306,347,324
1.72326e+09,20.2847,16.8161,12.4519,21.7629,10.2937,6.22623,12.8867,13.2217,12.8011,4.40789,84.5066,176.244,14.9076,4.81069,103.619,357,364,316,366,326
1.72326e+09,20.0356,21.7139,15.1041,18.0694,10.6995,96.6898,5.51838,9.59351,19.1102,14.1581,6.54807,17.1784,12.6697,7.05728,102.332,355,364,320,365,327
1.72326e+09,18.9281,21.0603,13.6413,19.3457,10.0936,77.6009,3.24136,7.29423,11.5558,13.1579,1.05028,14.3928,14.8317,7.91226,102.192,355,363,315,364,326
1.72326e+09,17.3467,19.6996,14.9631,20.0914,4.35387,91.734,5.04979,8.5762,6.8404,7.81103,10.1247,20.2197,15.5638,8.37297,13.5853,355,360,313,364,326
1.72326e+09,16.7691,23.5288,17.9759,18.7238,8.60856,4.13388,6.10289,10.4567,12.2008,5.43125,13.1738,3.67601,21.8517,12.3404,15.9094,356,364,314,362,327
1.72326e+09,15.5053,21.2888,10.5445,21.2135,2.28018,2.84971,7.73543,11.3148,12.588,7.65961,1.69408,19.1849,21.8258,11.3504,13.5524,355,367,311,356,328
1.72326e+09,22.5969,18.6613,11.5862,20.0289,5.95821,85.5152,11.4514,17.0577,16.9238,6.75096,3.29385,22.0976,20.3085,9.86153,18.6745,357,364,311,357,324
1.72326e+09,28.0827,16.4649,6.44938,19.3532,6.65492,3.39763,8.10418,13.3063,9.59889,6.11921,3.29216,15.6823,13.7012,2.86366,16.9611,355,362,311,349,327
1.72326e+09,23.3966,19.9749,3.59284,18.5674,6.65634,5.25897,7.45953,17.836,21.2231,8.03361,3.91101,11.5305,14.4575,13.692,25.9995,356,362,303,330,326
1.72326e+09,21.8763,20.5524,11.3349,17.3581,7.4338,3.05723,7.68075,16.7232,21.1379,8.42941,3.94605,16.1721,18.8551,7.54066,15.8526,354,361,303,293,321
1.72326e+09,21.4002,21.0696,11.0252,19.9346,5.91157,4.13805,9.17734,16.0213,14.0631,7.9373,4.35526,12.0952,18.5299,10.4498,19.469,353,365,299,276,320
1.72326e+09,17.9305,17.6523,17.2648,22.1566,4.08746,3.1469,9.6076,9.98348,11.2782,29.3243,4.24704,45.7013,16.194,9.39815,23.9797,353,361,298,271,323
