RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
44.3273,44.3273,458.0,458.0,39.81735,482.92575,40.479534,483.00046,41.700287,459.76276,40.64215,455.55637
49.398399999999995,49.398399999999995,456.0,456.0,45.295006,483.4263,48.43323,483.12793,51.584137,458.98633,47.147633,455.35956
58.3159,58.3159,454.0,454.0,46.33026,482.60992,54.107597,482.25143,49.892254,457.93155,51.8616,455.4294
59.4525,,457.0,457.0,42.599224,481.31506,54.704483,480.2559,51.12997,461.45612,50.313103,456.2001
61.0684,61.0684,454.0,454.0,47.787235,481.5847,61.25758,480.49338,57.533558,459.62613,55.29641,454.5367
63.9264,63.9264,454.0,454.0,53.280224,482.19827,64.85126,480.24457,61.70587,457.73837,59.52512,453.49698
62.9892,62.9892,459.0,459.0,57.665993,482.704,65.92441,479.93225,62.982304,457.1964,61.674988,453.92178
62.5244,62.5244,463.0,463.0,60.7546,483.00543,65.75778,479.9428,62.78528,458.10284,62.58098,455.79007
64.917,64.917,472.0,472.0,63.046307,483.1821,65.83578,480.18854,62.08919,461.27213,63.09674,459.52304
58.9376,58.9376,479.0,479.0,63.071877,483.02243,65.0813,480.39902,60.002197,467.33453,62.036873,465.937
57.7674,57.7674,490.0,490.0,61.10451,482.3336,62.692127,480.88977,57.455227,477.85983,58.86514,477.27066
58.7469,,495.0,495.0,52.659912,481.07828,58.96707,480.82822,53.6892,494.03036,52.597332,497.3335
47.1914,47.1914,497.0,497.0,48.66997,480.74252,56.43345,481.208,49.560253,500.3549,47.26642,502.22467
34.7781,34.7781,498.0,498.0,40.59258,480.47568,50.530437,480.76727,41.787197,505.48505,39.638817,505.804
28.0657,,501.0,501.0,29.810112,480.24515,35.752728,480.02026,29.821888,508.4507,31.364075,507.4377
24.496,24.496,507.0,507.0,20.81303,480.31766,25.212805,480.6472,21.56695,510.6726,23.796398,509.40988
20.9534,20.9534,510.0,510.0,13.093696,480.24338,16.393623,480.35577,14.817828,512.1862,16.518087,511.27
17.7923,17.7923,513.0,513.0,9.102803,480.6553,11.468056,480.68747,10.239091,512.6831,11.473311,512.39886
14.8516,14.8516,517.0,517.0,7.2895694,480.9804,7.9847426,480.7714,7.546926,513.5387,7.5175643,513.95123
16.0906,16.0906,,,7.3600535,483.03384,6.6064353,482.247,6.433744,508.03244,5.1212115,513.6918
11.074,,,,8.345315,484.3284,6.141107,483.67313,5.67131,500.29788,4.2913604,512.2093
8.810290000000002,8.810290000000002,511.0,511.0,7.498859,483.625,5.7791705,482.9893,5.365436,502.52832,4.120279,513.08545
8.657400000000003,8.657400000000003,513.0,513.0,6.7405868,482.9086,5.4700484,481.9358,5.100303,504.46918,4.127437,513.2929
7.712759999999999,7.712759999999999,510.0,510.0,12.44541,483.6611,5.478851,482.28867,4.632011,505.1855,4.6845603,512.85925
6.824259999999999,6.824259999999999,506.0,506.0,13.043043,483.36682,5.3900733,482.1668,4.2553077,504.9456,4.798738,511.56464
8.41967,8.41967,503.0,503.0,13.592944,482.9773,5.260118,482.05884,3.9616294,504.30038,4.8590903,509.80515
8.71558,8.71558,492.0,492.0,14.8940325,482.74475,5.079185,482.08948,3.9520602,500.36652,4.9955764,506.3159
10.8601,,488.0,488.0,23.78328,482.9981,6.5728793,482.64267,4.654735,494.94714,5.5113006,503.62125
