RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
113.916,,455.0,455.0,63.93213,491.0243,86.019325,487.9614,87.94899,455.6914,74.30591,452.38962
123.253,123.253,455.0,455.0,80.251114,493.83594,105.699776,494.03174,105.02932,456.17352,91.2361,453.3041
107.03199999999998,107.03199999999998,465.0,465.0,90.302765,495.41824,115.82033,494.80307,109.791176,459.33975,100.09701,455.75226
,,466.0,466.0,77.63773,493.03818,109.27684,494.1464,105.00085,463.2535,94.06794,458.83997
108.587,108.587,463.0,463.0,86.69125,494.68808,111.54566,495.1425,107.6783,464.62558,100.23925,459.78128
68.1556,,465.0,465.0,79.648796,494.38446,105.704124,494.63016,104.47358,467.42374,96.11931,461.58322
90.3351,90.3351,463.0,463.0,84.06708,495.59003,104.20756,495.27908,103.51793,468.1394,96.18927,463.31888
82.5237,,466.0,466.0,74.690025,495.51083,93.83933,494.18164,99.79006,470.87537,92.50887,466.37527
59.2303,59.2303,465.0,465.0,66.50766,495.81244,79.110374,493.78152,94.79741,473.63272,89.95238,468.82227
68.702,68.702,464.0,464.0,62.861877,496.4478,76.928276,495.5191,91.799324,476.08426,88.23537,470.68524
73.4508,,461.0,461.0,48.87005,496.20148,55.05151,495.20435,82.7969,476.32605,87.08105,472.20853
76.3409,,453.0,453.0,38.61541,496.47333,44.42792,496.20657,76.80509,473.76883,86.39486,473.04596
77.7945,,457.0,457.0,33.189957,497.0359,40.465584,497.54828,75.446465,471.48172,85.66394,473.46774
88.4266,88.4266,458.0,458.0,46.35504,498.48117,58.8657,500.05246,85.708305,468.10464,88.409615,471.21353
111.018,111.018,456.0,456.0,68.98436,499.94287,90.78218,501.87558,94.38484,463.75964,92.96918,467.51743
120.378,120.378,455.0,455.0,83.34201,501.37265,97.945946,503.0262,98.49278,460.89,99.5968,463.2696
113.388,113.388,462.0,462.0,89.531395,501.9966,96.933,502.85983,98.870636,461.45798,103.17848,462.1935
117.49600000000001,,468.0,468.0,84.20531,501.4472,91.964645,501.15155,98.11276,466.04938,102.88472,465.69614
,,469.0,469.0,79.245346,500.48492,88.958534,499.62167,95.45303,469.8966,98.33168,469.4305
87.369,87.369,475.0,475.0,84.91487,501.04962,87.635254,499.7242,94.7531,476.458,100.17376,469.60544
87.5786,87.5786,488.0,488.0,88.97235,501.25882,87.68348,499.65634,94.12331,486.01086,101.66521,471.88025
57.9488,57.9488,495.0,495.0,82.103096,499.4267,87.21912,499.40994,89.71702,496.82172,95.73532,479.50458
48.4126,48.4126,500.0,500.0,68.34428,497.46768,82.30322,498.36505,80.61428,504.84735,88.3039,494.77063
16.7243,,496.0,496.0,62.26271,497.41882,76.38669,498.06573,70.213356,507.9264,82.426414,505.74136
33.2201,33.2201,498.0,498.0,36.357944,495.21298,36.25344,495.17032,48.455,512.46246,66.48606,515.0281
33.2207,33.2207,495.0,495.0,26.26703,495.145,25.509428,494.9894,36.896988,513.1813,49.77843,518.03503
26.7952,,494.0,494.0,22.930817,494.9239,19.772812,494.0342,29.198313,512.3329,36.20395,517.9409
16.98170000000001,16.98170000000001,485.0,485.0,18.50317,495.09915,16.98109,493.93457,22.897915,507.9376,23.590061,513.3547
17.9099,17.9099,481.0,481.0,17.028332,495.45322,16.291218,494.48743,19.430843,500.51138,19.121994,503.9556
24.3264,24.3264,473.0,473.0,16.547619,496.0355,16.253101,494.91592,17.40519,488.45947,17.770603,490.18173
16.926500000000004,16.926500000000004,468.0,468.0,16.618073,496.89844,16.545204,495.8493,16.42163,475.722,18.42509,478.46356
58.8973,58.8973,462.0,462.0,21.205025,498.91202,16.377361,498.29605,19.667847,463.82196,26.97403,472.74014
66.806,,459.0,459.0,46.934883,500.27383,16.356247,499.8584,32.487934,455.99286,40.543247,466.80966
81.7687,81.7687,456.0,456.0,70.289444,501.12927,38.95526,501.6711,57.26151,450.9806,58.219482,460.26315
101.207,101.207,457.0,457.0,82.94728,501.30838,87.56451,502.3465,75.69125,448.92783,81.83337,455.83032
96.1549,96.1549,454.0,454.0,88.02958,500.90704,100.37144,501.86108,90.02465,448.92294,94.64644,452.22867
129.133,,452.0,452.0,80.90623,499.50906,98.42868,500.13657,99.75842,449.40216,90.03726,451.84793
103.278,,452.0,452.0,80.28763,499.10068,96.18544,498.59125,107.77107,450.01566,91.9347,453.52438
91.9772,91.9772,452.0,452.0,89.12047,499.52487,104.03528,498.69998,112.67011,451.36676,97.267265,454.51944
67.5217,67.5217,454.0,454.0,85.580284,498.14932,104.349655,496.12735,112.545105,453.66537,92.27746,455.28854
105.218,105.218,454.0,454.0,91.69435,497.56055,107.15266,495.03882,109.66385,455.00012,96.01086,454.8239
109.257,,454.0,454.0,83.905846,495.84418,99.08286,493.2304,103.000114,456.69547,91.6233,456.01978
95.9857,95.9857,453.0,453.0,86.95613,495.8908,99.10698,493.65582,101.3263,457.4504,93.03047,456.5009
94.5979,94.5979,453.0,453.0,86.30989,495.63065,96.711044,494.06866,98.58299,458.33847,91.82174,457.6191
100.944,100.944,457.0,457.0,89.492805,496.243,96.604416,494.71967,97.87978,459.6132,92.79807,459.18466
102.732,102.732,,,91.706314,496.63123,96.24931,495.2421,96.995544,467.7515,94.154915,463.06528
99.7268,,459.0,459.0,75.15997,495.26334,90.50847,493.88278,93.01492,471.66998,91.06596,465.5259
100.515,100.515,,,82.27222,496.71017,91.76048,495.77057,93.30249,482.78186,93.06796,468.7358
85.0254,85.0254,465.0,465.0,81.5159,497.80014,92.53366,496.9553,90.56371,485.8877,93.36737,469.96326
107.896,,,,70.34035,497.7626,86.20214,496.45935,83.58386,495.48276,91.98376,477.5227
88.8963,,478.0,478.0,63.881157,498.41293,81.65758,497.59207,77.42825,497.66132,88.34764,484.68048
89.4392,89.4392,,,73.501915,499.37665,85.45395,498.98468,78.35069,498.718,88.98818,491.08997
84.5896,84.5896,474.0,474.0,77.29046,500.26553,88.271904,499.88486,79.22599,495.88058,87.69709,493.82074
63.0508,63.0508,,,72.136665,499.81506,85.93276,499.1775,73.97315,495.73615,84.89626,498.76904
81.3504,81.3504,474.0,474.0,70.74541,499.65167,86.58194,499.18622,75.99978,491.7224,80.82602,500.53363
83.5915,83.5915,468.0,468.0,69.0029,499.62497,88.290855,499.0203,77.62265,484.10855,78.34057,498.37057
71.5493,,462.0,462.0,63.705715,499.8795,84.36153,498.31485,77.07479,474.36295,78.15671,492.70926
81.1632,,461.0,461.0,64.33503,500.29633,79.27302,497.7013,77.49527,467.61954,79.40508,484.32513
91.8212,91.8212,458.0,458.0,71.79122,500.8322,83.13328,498.9149,82.21352,463.01675,82.944466,473.93405
88.7106,88.7106,459.0,459.0,77.184425,501.42014,86.15312,499.64764,84.66507,460.3339,87.04971,466.43637
88.9527,88.9527,458.0,458.0,77.88812,501.25317,88.59876,499.908,86.78066,459.66348,86.4942,464.16312
85.1887,85.1887,454.0,454.0,80.84402,501.65405,87.42606,499.687,87.8213,458.56296,88.83153,462.4578
108.249,108.249,458.0,458.0,86.08396,501.8648,88.61599,500.1069,90.43281,458.4015,92.79833,461.42017
108.312,,474.0,474.0,80.27986,500.91425,85.487206,498.8548,90.53218,462.73532,93.49411,463.60654
109.439,109.439,489.0,489.0,88.070076,500.96625,88.23537,499.42947,92.88674,471.83826,98.1964,465.32822
106.856,106.856,489.0,489.0,91.23489,500.56906,92.11169,500.2905,93.643906,480.65952,97.77941,468.29474
103.134,,487.0,487.0,85.0613,499.91095,88.43379,499.0823,92.513466,493.78967,97.46149,474.15274
51.5016,51.5016,490.0,490.0,75.4661,498.41452,86.5259,497.69437,89.635704,501.69714,90.54621,485.1137
42.7662,42.7662,488.0,488.0,57.1225,497.20688,73.647255,495.8576,82.43672,508.91257,85.005066,495.2578
43.7091,43.7091,492.0,492.0,45.578888,497.1048,51.202404,495.22336,67.22064,512.20154,78.37457,505.2991
42.4615,42.4615,494.0,494.0,38.30081,497.25043,34.650925,494.9994,49.82937,514.1694,70.49179,512.4274
46.8628,,501.0,501.0,34.057045,496.86127,28.797073,495.3988,39.02694,514.5606,60.70468,516.34863
31.7083,31.7083,500.0,500.0,24.397175,496.077,20.43428,494.371,29.153637,514.67566,41.909184,519.35315
16.0206,16.0206,498.0,498.0,19.786636,495.86325,17.693214,494.0294,22.603336,510.6883,26.437891,516.064
20.7706,,502.0,502.0,20.409805,496.40424,16.808067,495.29977,19.443272,507.38058,22.840385,512.7939
41.1172,41.1172,502.0,502.0,20.048965,496.46286,16.276573,494.83716,17.366592,503.71628,19.519989,509.4304
27.281000000000002,27.281000000000002,505.0,505.0,21.47147,496.9346,16.667873,495.07953,16.81871,502.3465,18.197556,507.03897
