RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
3.5748099999999994,,593.0,593.0,54.343895,553.18524,45.213387,552.887,10.861691,585.92737,11.483281,609.61304
5.130510000000001,5.130510000000001,577.0,577.0,48.304844,550.7355,15.904508,546.2563,10.399354,573.85114,10.338986,600.41095
2.0433500000000038,2.0433500000000038,,,38.645622,548.25793,9.390508,542.8494,9.871903,547.50757,10.063527,574.4193
4.535179999999997,,550.0,550.0,42.302002,547.42694,12.637532,542.0236,12.056657,535.6567,17.26237,555.22455
92.70670000000001,,537.0,537.0,45.098175,547.29926,25.665403,540.17316,20.127386,527.72327,31.223793,537.12256
26.5281,,,,45.967766,546.9089,44.11567,538.3526,32.54107,529.5843,42.93831,530.6015
46.7534,,522.0,522.0,46.34976,547.4989,56.20385,537.0786,45.55123,517.5239,50.28077,513.1755
56.7878,56.7878,516.0,516.0,50.344975,549.9253,67.199715,537.45593,58.006317,519.2448,55.86909,503.84335
60.5143,60.5143,510.0,510.0,55.498825,552.6918,74.446625,538.51575,65.59433,513.42664,60.63684,495.14728
59.0872,59.0872,505.0,505.0,59.406948,554.5808,78.10419,541.874,71.203224,508.74115,65.19572,490.87433
64.9841,64.9841,499.0,499.0,58.579567,553.108,79.44974,539.62805,73.49763,505.90393,66.79638,489.90335
73.8702,,494.0,494.0,58.24184,553.8452,75.6646,540.36163,70.0972,503.79514,67.58515,488.56586
77.4491,,488.0,488.0,51.695164,551.3177,70.87794,537.5648,68.81977,501.81604,63.83107,487.93402
75.4965,75.4965,482.0,482.0,58.158485,554.26276,72.46306,542.92834,72.42498,498.92294,66.95504,487.61572
75.7197,,481.0,481.0,57.19258,555.347,70.87705,543.62036,70.66592,497.30734,65.60446,488.08414
87.3358,87.3358,481.0,481.0,67.05659,558.688,80.78173,552.03577,74.427826,495.37708,72.98046,488.42093
92.0032,92.0032,480.0,480.0,72.545265,559.38837,86.12191,554.4339,80.05484,493.81458,76.83548,488.38144
85.2246,85.2246,480.0,480.0,78.119125,561.3373,87.73408,556.0298,79.98606,492.68054,82.41835,488.61453
91.78819999999999,91.78819999999999,481.0,481.0,82.03539,561.3995,88.157555,556.63165,82.54367,492.57382,84.17723,488.93597
87.2888,87.2888,482.0,482.0,83.41375,561.0269,87.65161,557.1572,83.78769,492.93558,83.17618,490.31833
91.674,,481.0,481.0,73.067604,558.524,82.77305,554.82153,82.425186,494.1321,77.66546,493.79282
